route,recommendation,current_passengers,current_peak_freq,current_offpeak_freq,current_daily_trips,optimized_peak_freq,optimized_offpeak_freq,optimized_daily_trips,frequency_change_peak_pct,frequency_change_offpeak_pct,trips_change,cost_impact_eur,occupancy_rate,cost_per_passenger,efficiency_score
561,Increase Frequency,2548.0,15,30,40,9,19,70,-40.0,-36.666666666666664,30,750,0.79625,0.3924646781789639,110.78260869565217
562,Increase Frequency,2254.1,15,30,40,12,24,55,-20.0,-20.0,15,375,0.70440625,0.4436360409919702,204.9181818181818
563,Increase Frequency,2183.0,15,30,40,11,23,57,-26.666666666666668,-23.333333333333332,17,425,0.6821875000000001,0.45808520384791573,128.41176470588235
564,Increase Frequency,1933.9,20,40,30,10,21,64,-50.0,-47.5,34,850,0.8057916666666667,0.38781736387610527,92.0904761904762
565,Increase Frequency,2087.2000000000003,20,40,30,9,18,72,-55.00000000000001,-55.00000000000001,42,1050,0.8696666666666667,0.35933307780758905,99.3904761904762
566,Increase Frequency,1798.2,20,40,30,13,26,50,-35.0,-35.0,20,500,0.7492500000000001,0.41708375041708373,179.82
567,Increase Frequency,1648.7000000000003,30,60,20,8,16,82,-73.33333333333333,-73.33333333333333,62,1550,1.0,0.30326924243343234,109.91333333333336
568,Increase Frequency,1772.3000000000002,30,60,20,7,15,90,-76.66666666666667,-75.0,70,1750,1.0,0.2821192800315973,98.46111111111112
569,Increase Frequency,2088.2000000000003,30,60,20,7,14,94,-76.66666666666667,-76.66666666666667,74,1850,1.0,0.2394406666028158,104.41000000000001
570,Increase Frequency,2143.4,30,60,20,7,15,90,-76.66666666666667,-75.0,70,1750,1.0,0.23327423719324436,178.61666666666667
