stop_name,total_passengers,weekday_passengers,zone,priority,current_routes,route_count,demand_pattern,service_recommendation
Neumarkt Bahnhof,1428.3000000000002,111.0,core,critical,561|562|563|564|565|566|567|568|569|570,10,leisure_focused,Increase frequency on all routes
Oberer Markt,289.99999999999994,62.5,core,critical,561|562|563|569|570,5,leisure_focused,Increase frequency on all routes
Theo-Betz-Platz,262.4,23.4,suburban,critical,564|565|566,3,leisure_focused,Maintain current service
Rathaus,259.09999999999997,56.3,core,critical,561|562|563|569|570,5,leisure_focused,Increase frequency on all routes
Landratsamt,145.5,63.3,core,critical,561|562,2,mixed_use,Increase frequency on all routes
Klinikum,86.0,34.8,core,high,561|562,2,leisure_focused,Maintain current service
Kerschensteinerstr.,71.2,25.9,suburban,medium,567|568,2,leisure_focused,Maintain current service
Museum Lothar Fischer,66.3,29.4,suburban,medium,564|565,2,mixed_use,Maintain current service
Schlossbad,56.8,25.2,suburban,medium,564|565,2,mixed_use,Maintain current service
Berufsschulzentrum,56.8,56.8,core,high,568,1,business_focused,Add alternative route
Volksfestplatz,56.3,4.5,suburban,medium,561|565|570,3,leisure_focused,Maintain current service
Gasthof Feihl (Pölling),50.6,50.6,remote,high,561,1,business_focused,Add alternative route
Gotenstr.,43.9,43.9,suburban,medium,566,1,business_focused,Maintain current service
Neuer Markt,40.4,38.2,core,medium,563,1,business_focused,Maintain current service
Karl-Speier-Str.,40.3,11.9,suburban,medium,564|565,2,leisure_focused,Maintain current service
Regensburger Str.,38.4,15.0,suburban,medium,567|568,2,leisure_focused,Maintain current service
Stadtwerke,36.8,36.8,suburban,medium,568,1,business_focused,Maintain current service
Nürnberger Str.,35.5,35.5,remote,medium,561,1,business_focused,Maintain current service
Ärztehaus,35.1,12.9,suburban,medium,567|568,2,leisure_focused,Maintain current service
Johanneszentrum,34.5,1.7,core,low,561|563|565|569|570,5,leisure_focused,Maintain current service
Mariahilfstr.,32.8,32.8,suburban,medium,566,1,business_focused,Maintain current service
Hasenheide Schule,31.6,31.6,suburban,medium,568,1,business_focused,Maintain current service
Finanzamt,27.900000000000002,24.7,suburban,medium,567|568,2,business_focused,Maintain current service
Altenhof Geschäftszentrum,23.2,21.9,core,medium,563,1,business_focused,Maintain current service
Kettelerstr.,22.4,22.4,suburban,medium,565,1,business_focused,Maintain current service
Kreuzstr.,21.9,0.1,suburban,low,561|570,2,leisure_focused,Maintain current service
Meuselstr.,19.299999999999997,3.2,suburban,low,561|570,2,leisure_focused,Maintain current service
Landesgartenschau,19.0,17.2,suburban,low,563,1,business_focused,Maintain current service
Hermann-Stehr-Str.,18.7,18.7,suburban,low,563,1,business_focused,Maintain current service
Fliederweg,18.3,18.3,suburban,low,561,1,business_focused,Maintain current service
Kornstr.,16.8,16.8,suburban,low,563,1,business_focused,Maintain current service
Gansbrauerei,16.4,16.4,suburban,low,569,1,business_focused,Maintain current service
Bergstr. (Pölling),16.3,16.3,remote,low,561,1,business_focused,Maintain current service
Maienbreite,16.3,16.2,suburban,low,562,1,business_focused,Maintain current service
Klostertor,16.1,6.1,suburban,low,564|565,2,leisure_focused,Maintain current service
Siedlerstr. (Pölling),15.1,15.1,suburban,low,561,1,business_focused,Maintain current service
Höhenberg im Tal,14.5,14.5,remote,low,566,1,business_focused,Maintain current service
Saarlandstr.,14.4,14.4,suburban,low,565,1,business_focused,Maintain current service
Wolfstein Siedlung,13.1,13.1,suburban,low,565,1,business_focused,Maintain current service
Kapellenweg (Rittershof),13.0,13.0,remote,low,561,1,business_focused,Maintain current service
Am Lohgraben,11.9,11.9,suburban,low,565,1,business_focused,Maintain current service
Altenhofweg,11.7,11.7,remote,low,563,1,business_focused,Maintain current service
Holzheim Schule,11.6,11.6,suburban,low,562,1,business_focused,Maintain current service
Woffenbacher Str.,11.4,0.4,suburban,low,561|570,2,leisure_focused,Maintain current service
Moosweiherstr.,11.4,11.4,suburban,low,569,1,business_focused,Maintain current service
Föhrenweg,11.2,11.2,suburban,low,565,1,business_focused,Maintain current service
Lähr,11.0,11.0,suburban,low,567,1,business_focused,Maintain current service
Ginsterweg,10.9,10.9,suburban,low,565,1,business_focused,Maintain current service
Stadtweg (Pölling),10.7,10.7,suburban,low,561,1,business_focused,Maintain current service
Heideweg,10.6,10.6,suburban,low,564,1,business_focused,Maintain current service
Woffenbach Kirche,9.9,9.9,suburban,low,570,1,business_focused,Maintain current service
Johann-Mois-Ring,9.8,9.1,suburban,low,563,1,business_focused,Maintain current service
Hutäcker,9.6,9.6,suburban,low,565,1,business_focused,Maintain current service
Zedernweg,9.4,9.4,suburban,low,565,1,business_focused,Maintain current service
Flugplatz,8.8,8.8,suburban,low,561,1,business_focused,Maintain current service
Ahntweg,8.7,8.7,suburban,low,561,1,business_focused,Maintain current service
Koppenmühlweg,8.4,8.4,suburban,low,563,1,business_focused,Maintain current service
Woffenbach Zentrum,8.4,8.4,core,low,569,1,business_focused,Maintain current service
Hasenheide Kirche,8.3,8.3,suburban,low,568,1,business_focused,Maintain current service
Breslauer Str.,8.2,8.2,suburban,low,563,1,business_focused,Maintain current service
Kohlenbrunnermühlstr.,8.1,8.1,suburban,low,564,1,business_focused,Maintain current service
Birkenweg,7.7,7.7,suburban,low,565,1,business_focused,Maintain current service
Heiligenwiesen,7.5,7.5,suburban,low,562,1,business_focused,Maintain current service
Ludwig-Wifling-Str.,7.5,7.5,suburban,low,568,1,business_focused,Maintain current service
Weinberger Str. / Schule,7.4,7.4,remote,low,567,1,business_focused,Maintain current service
Stauf Kirche,7.3,7.3,suburban,low,569,1,business_focused,Maintain current service
Am Evangelienstein,7.1,7.1,suburban,low,563,1,business_focused,Maintain current service
Tyrolsberger Str.,6.8,6.8,remote,low,570,1,business_focused,Maintain current service
St.-Anna-Str.,6.7,6.7,suburban,low,562,1,business_focused,Maintain current service
Ingolstädter Str.,6.5,6.5,suburban,low,568,1,business_focused,Maintain current service
Leipzigerstr.,6.3,6.3,suburban,low,564,1,business_focused,Maintain current service
Wolfstein Hl. Kreuz,6.3,6.3,suburban,low,565,1,business_focused,Maintain current service
Wildbadstr.,6.3,6.3,suburban,low,567,1,business_focused,Maintain current service
Woffenbach Schule,5.9,5.9,suburban,low,569,1,business_focused,Maintain current service
Kapuzinerhölzl,5.8,5.8,suburban,low,564,1,business_focused,Maintain current service
Pelchenhofener Str.,5.8,5.8,remote,low,564,1,business_focused,Maintain current service
Siegfriedstr. (Pölling),5.7,5.7,suburban,low,561,1,business_focused,Maintain current service
Egerländer Str.,5.5,5.5,suburban,low,565,1,business_focused,Maintain current service
Fa. Klebl,5.5,5.5,suburban,low,567,1,business_focused,Maintain current service
Förstersteig,5.5,5.5,suburban,low,568,1,business_focused,Maintain current service
Ziegelhüttenweg,5.4,5.4,suburban,low,566,1,business_focused,Maintain current service
Wilhelm-Busch-Str.,5.2,5.2,suburban,low,564,1,business_focused,Maintain current service
Klebl Bauzentrum,5.1,5.1,core,low,569,1,business_focused,Maintain current service
Schillerstr.,5.0,5.0,suburban,low,564,1,business_focused,Maintain current service
Nibelungenstr.,4.9,4.9,suburban,low,561,1,business_focused,Consider stop consolidation
Sachsenstr.,4.9,4.9,suburban,low,564,1,business_focused,Consider stop consolidation
Nobelstr.,4.9,4.9,suburban,low,567,1,business_focused,Consider stop consolidation
Max-Künzel-Str.,4.8,4.8,suburban,low,569,1,business_focused,Consider stop consolidation
Marienbader Str.,4.7,4.7,suburban,low,561,1,business_focused,Consider stop consolidation
Eichendorffstr.,4.7,4.7,remote,low,563,1,business_focused,Consider stop consolidation
Fa. Bionorica,4.6,4.6,suburban,low,568,1,business_focused,Consider stop consolidation
Medererstr.,4.6,4.6,suburban,low,568,1,business_focused,Consider stop consolidation
Sturmwiese,4.4,4.4,suburban,low,566,1,business_focused,Consider stop consolidation
Renauweg (Stauf),4.4,4.4,suburban,low,569,1,business_focused,Consider stop consolidation
BRK-Altenheim,4.0,4.0,suburban,low,570,1,business_focused,Consider stop consolidation
Schweningerstr.,3.9,3.9,suburban,low,567,1,business_focused,Consider stop consolidation
Schlossstr.,3.7,3.7,suburban,low,569,1,business_focused,Consider stop consolidation
EFA-Str.,3.6,3.6,suburban,low,564,1,business_focused,Consider stop consolidation
Deininger Weg / Sportz.,3.6,3.6,suburban,low,568,1,business_focused,Consider stop consolidation
Regerstr.,3.5,3.5,suburban,low,564,1,business_focused,Consider stop consolidation
Pöllinger Höhe,3.4,3.4,suburban,low,561,1,business_focused,Consider stop consolidation
Friedhof,3.2,3.2,remote,low,567,1,business_focused,Consider stop consolidation
Abzw. Regerstr.,3.0,3.0,suburban,low,564,1,business_focused,Consider stop consolidation
St. Helena,2.9,2.9,suburban,low,566,1,business_focused,Consider stop consolidation
Schönwerthstr.,2.8,2.2,suburban,low,567|568,2,business_focused,Consider stop consolidation
Ramoldplatz (Berngau) nur bis 09/24,2.6,2.6,suburban,low,569,1,business_focused,Consider stop consolidation
Altdorfer Str.,2.5,2.0,remote,low,563,1,mixed_use,Consider stop consolidation
Turnerheim,2.2,2.2,suburban,low,565,1,business_focused,Consider stop consolidation
Voggenthal Ort,2.1,2.1,suburban,low,566,1,business_focused,Consider stop consolidation
Wallensteinstr.,2.1,2.1,suburban,low,569,1,business_focused,Consider stop consolidation
Am Sand,1.9,1.9,suburban,low,562,1,business_focused,Consider stop consolidation
Am Letten,1.9,1.9,suburban,low,570,1,business_focused,Consider stop consolidation
