Bevölkerungsentwicklung seit 1840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkszählung;;;;;;;;;;;;;Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;"Feststellung
des
Gebietsstandes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerung;;;;;;;;;;;Bevölkerung;;;;;;;;;;;;;Fläche;;;;;;;;;;;;;;;;;;;;;;Fläche;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;01.01.2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;01.12.1840;01.12.1871;01.12.1900;16.06.1925;17.05.1939;13.09.1950;06.06.1961;27.05.1970;25.05.1987;09.05.2011;15.05.2022
;;01.12.1840;01.12.1871;01.12.1900;16.06.1925;17.05.1939;13.09.1950;06.06.1961;27.05.1970;25.05.1987;09.05.2011;15.05.2022;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;qkm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;qkm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;;;;;;;;;;;;qkm;;;;;;;;;;;
9;Bayern;3802515;4292484;5414831;6451380;7084086;9184466;9515479;10479386;10902643;12397614;13039684;Bayern;12519571;12604244;12691568;12843514;12930751;12997204;13076721;13124737;13140183;13176989;13105221;13176426;70542;84673;87324;151946;87237;66453;79517;48016;15446;36806;-71768;71205;0,676325091;0,692814262;1,197220076;0,679229999;0,513914466;0,611800815;0,367186851;0,117686168;0,27932026;-0,547629071;0,540396918;53,89815734;60,8431467;76,75167966;91,44408221;100,412275;130,1837845;134,8756768;148,5384266;154,5378172;175,728051;185
91;  Oberbayern;711861;865178;1351086;1727483;1999048;2541896;2831744;3324104;3598126;4328218;4679040;Oberbayern;4415649;4469342;4519979;4588944;4633323;4649534;4686163;4710865;4719716;4729243;4705040;4726101;17529;53693;50637;68965;44379;16211;36629;24702;8851;9527;-24203;21061;1,215970744;1,132985571;1,525781425;0,967085238;0,349878478;0,787799379;0,52712635;0,187884815;0,201448731;-0,514405829;0,44563161;40,60815744;49,35413577;77,0727895;98,54438106;114,0358243;145,0026241;161,5370222;189,6237307;205,2553337;246,9034797;267
92;  Niederbayern;502934;578829;652139;726707;755980;1041333;927724;977166;1027374;1172834;1234536;Niederbayern;1181472;1189153;1197558;1212119;1219397;1230037;1238528;1244169;1247063;1253441;1244102;1251623;10326;7681;8405;14561;7278;10640;8491;5641;2894;6378;-9339;7521;0,650121205;0,7068056;1,215891005;0,600436096;0,872562422;0,690304438;0,45546003;0,232605056;0,508839267;-0,750661923;0,600899792;48,69145125;56,03920999;63,13670249;70,35598799;73,19004744;100,8164392;89,8174073;94,60412431;99,46500145;113,5476813;120
93;  Oberpfalz;459571;501950;558394;636845;694742;906822;898580;963833;969868;1070965;1101363;Oberpfalz;1074738;1077991;1082761;1092339;1098378;1104407;1109269;1112102;1112267;1116741;1107750;1116135;9690;3253;4770;9578;6039;6029;4862;2833;165;4474;-8991;8385;0,30267842;0,44248978;0,884590413;0,552850351;0,548900288;0,440236253;0,255393417;0,014836769;0,400630048;-0,811645227;0,751253209;47,42734778;51,80082559;57,62579979;65,72187822;71,69680083;93,58328173;92,73271414;99,46676987;100,0895769;110,5227038;114
