Volkszählung am 25. Mai 1987, Zensus am 9. Mai 2011 und 15. Mai 2022;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;
;;25.05.1987;;;;;;09.05.2011;;;;;;15.05.2022;;;;;
;;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte
;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;
;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;
;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;10902643;7329061;2627638;611552;4527448;1444089;12397614;6.676.810;2.517.524;1.017.953;5679502;2047292;13039684;5757451;2134382;1860563;6188802;2593919
91;Oberbayern;3598126;2501241;606054;304828;1609531;598507;4328218;2.220.983;586.057;520.802;2044985;801401;4679040;1905529;483726;861997;2249294;1004239
92;Niederbayern;1027374;921080;74159;21265;380229;94565;1172834;897.665;96.818;52.176;501828;154498;1234536;798152;82705;140517;560544;210955
93;Oberpfalz;969868;829468;111952;18788;376535;103615;1070965;782.670;133.599;43.199;475889;159598;1101363;687113;119589;108099;518276;206950
94;Oberfranken;1036576;475426;514127;29289;419095;120276;1063454;434.139;448.615;41.390;486510;167440;1047443;370797;376302;86846;506538;208026
95;Mittelfranken;1521484;541461;822231;101213;653368;216285;1682297;482.927;720.345;151.543;789985;296772;1775931;411544;611441;273857;856221;368241
96;Unterfranken;1202711;902425;239845;42048;469682;126030;1300647;803.429;251.342;67.286;581047;189441;1308366;663948;216438;129719;619521;243136
97;Schwaben;1546504;1157960;259270;94121;619008;184811;1779199;1.055.002;280.757;141.557;799264;278146;1893005;920370;244174;259532;878403;352369
9161;Ingolstadt (Krfr.St);96071;67611;17922;9762;40587;12562;124927;61.927;22.523;15.396;59619;22984;136468;49867;18414;28208;67451;30538
9162;München, Landeshauptstadt;1185421;687119;230099;178533;652904;327972;1348335;494.081;185.549;283.544;732794;368446;1479408;402058;147912;403149;790040;435875
9163;Rosenheim (Krfr.St);53155;37345;8442;5140;26004;11238;59329;29.301;8.267;9.069;30036;13084;63284;24030;6529;13946;32241;15066
9171;Altötting (Lkr);94216;79932;9630;3465;37250;10640;106023;73.838;12.108;6.246;46224;14988;111881;64433;10375;14409;51153;19922
9172;Berchtesgadener Land (Lkr);90689;72118;13015;5795;38379;13291;100827;65.403;12.242;10.921;47246;18181;103867;56367;9612;17263;50160;22494
9173;Bad Tölz-Wolfratshausen (Lkr);98579;71532;18141;4851;39185;11225;119178;67.114;17.937;8.384;52829;17932;129131;60059;15180;17217;59355;23872
9174;Dachau (Lkr);104280;78401;14921;7363;40448;9999;138697;75.642;17.239;14.174;59361;18122;150689;66156;14627;24372;66801;24598
9175;Ebersberg (Lkr);96283;69735;16527;4451;37087;9370;127568;68.031;18.162;10.007;54194;15952;141774;60458;15320;20927;62174;22190
9176;Eichstätt (Lkr);97347;85694;7776;2791;33552;6679;123421;90.508;13.015;5.435;49018;12542;133409;82523;11850;12802;56061;17511
9177;Erding (Lkr);89190;75438;8541;3367;30910;6422;125706;79.925;12.008;7.959;51486;15001;137673;71886;10307;17644;59322;20864
9178;Freising (Lkr);118144;90869;15323;7595;46930;13708;162818;89.811;18.525;16.555;71476;23898;180064;78283;15687;33287;81562;31643
