Arbeitslosenzahlen seit 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023
;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;;Arbeitslose nach ausgewählten Personengruppen;;;;;
;;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre;Insgesamt;langzeitarbeitslos;schwerbehindert;Ausländer;unter 25 Jahre ;55 bis unter 65 Jahre
9;Bayern;231353;55588;21440;67249;23106;54234;214017;48714;20690;63090;21027;52689;211965;43954;20984;63265;20788;52098;275075;52005;24011;85708;28582;64492;262186;71582;24686;81958;23794;69279;235851;62458;23337;83970;20436;65778;257096;61744;23497;99404;23039;68919
91;  Oberbayern;80563;19182;5925;29233;6911;17484;74084;16925;5803;26531;6232;16916;71290;14868;5890;25441;5915;16480;97648;17199;6659;36845;9028;21047;94899;24650;6946;36077;7724;23110;83550;21838;6698;34750;6465;21712;89921;21191;6731;38867;7184;22782
92;  Niederbayern;21192;4631;1845;4905;2451;5408;20179;4186;1839;4938;2272;5345;20534;3935;1906;5278;2323;5401;25802;4733;2163;6993;2992;6575;24518;6524;2172;6390;2499;7068;21855;5611;2089;6442;2021;6954;24847;5794;2144;8841;2455;7444
93;  Oberpfalz;17936;4109;1918;3530;1990;4405;16584;3523;1833;3430;1791;4303;17168;3238;1855;3759;1866;4298;21508;3941;2141;4839;2457;5303;20228;5181;2204;4559;2065;5582;18729;4467;2063;5544;1822;5480;20869;4568;2098;7219;2062;5841
94;  Oberfranken;21066;5129;2423;3768;2262;5587;19470;4429;2277;3616;2053;5312;19376;4016;2360;3567;2040;5424;23677;4970;2818;4332;2515;6586;22007;6273;2849;4054;2076;6825;20540;5420;2774;4993;1810;6633;22611;5481;2849;6322;2056;6983
95;  Mittelfranken;38164;10577;4466;12258;3801;8344;35308;9129;4240;11633;3528;8086;34647;8196;4030;11781;3528;7705;43107;9434;4518;14824;4506;9337;41379;13115;4638;14400;3704;10252;37331;11563;4176;14577;3207;9434;40407;10946;4017;17231;3659;9763
96;  Unterfranken;22246;5301;2107;5256;2428;5524;20470;4627;2050;4897;2178;5463;20817;4356;2166;5126;2209;5584;26053;5110;2429;6487;2905;6593;24054;6622;2494;6024;2208;6881;22529;5873;2448;6865;2050;6638;24700;6119;2512;8273;2321;6901
97;  Schwaben;30185;6659;2756;8300;3263;7482;27924;5895;2648;8045;2972;7265;28134;5344;2778;8314;2908;7208;37281;6618;3283;11389;4178;9053;35102;9217;3383;10456;3519;9561;31317;7685;3089;10799;3062;8928;33742;7646;3148;12650;3302;9204
9161;    Ingolstadt (Krfr.St);2466;582;184;838;295;506;2345;588;189;782;263;525;2379;627;212;795;270;566;3110;709;252;1109;368;699;2992;869;238;1117;324;692;2662;748;227;1091;269;610;2713;702;203;1242;262;551
9162;    München, Landeshauptstadt;35718;9577;2432;16135;2102;6828;32465;8227;2386;14411;1957;6480;30557;6907;2391;13487;1776;6003;42525;7748;2628;19738;3036;7617;42452;11493;2763;20004;2862;8443;37047;10532;2707;18280;2318;7988;39249;9762;2711;19249;2564;8482
9163;    Rosenheim (Krfr.St);1565;347;136;578;179;303;1422;284;132;532;148;294;1381;264;128;529;152;281;1853;339;149;738;205;387;1667;490;126;653;169;396;1492;411;101;640;141;373;1623;433;117;716;164;402
