Landtagswahlen seit 1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;23.09.1994;24.09.1994;25.09.1994;25.09.1994;25.09.1994;25.09.1994;25.09.1994;25.09.1994;25.09.1994;25.09.1994;12.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;13.09.1998;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;21.09.2003;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;28.09.2008;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;15.09.2013;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;14.10.2018;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023;08.10.2023
;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Abgegebene Stimmen;Gültige Stimmen;Gültige Stimmen;;;;;
;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;;;;Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);Art der Stimme (Landtagswahl);;;;;
;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;;;;GESAMTSTIMME;GESAMTSTIMME;Gesamtstimmen;;;;;
;;;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);;;;;Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl);Parteien (Landtagswahl)
;;;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP);;;;;Christlich-Soziale Union in Bayern e.V. (CSU);FREIE WÄHLER Bayern;Alternative für Deutschland (AfD);BÜNDNIS 90/DIE GRÜNEN (GRÜNE);Sozialdemokratische Partei Deutschlands (SPD);Freie Demokratische Partei (FDP)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;8743532;5926503;11851907;11669881;6163888;–;–;713732;3506620;327305;8846155;6175848;12348664;12186909;6447764;446115;–;692456;3501900;201788;9108516;5205073;10409214;10248735;6217864;411306;–;793050;2012265;263731;9321417;5398356;10796004;10612275;4603960;1085896;–;999111;1972437;847227;9442013;6005395;12009369;11821792;5636425;1062553;–;1019373;2437401;390038;9479428;6852036;13702412;13564747;5046081;1572792;1388622;2392356;1309078;690499;9430600;6895807;13789922;13658782;5059571;2163849;2000435;1972725;1140753;413887
