Wahl der Stadt- bzw. Gemeinderäte am 15. März 2020;;;;;;;;;Parteien/Wählergruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinderatswahlen;;;;;;;;;Insgesamt;;;Christlich-Soziale Union in Bayern e.V. (CSU);;;BÜNDNIS 90/DIE GRÜNEN (GRÜNE);;;FREIE WÄHLER Bayern;;;Alternative für Deutschland (AfD);;;Sozialdemokratische Partei Deutschlands (SPD);;;Freie Demokratische Partei (FDP);;;Gemeinsame Wahlvorschläge;;;Wählergruppen;;;sonstige Wahlvorschläge;;
;;Stichtag;;;;;;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;
;;15.03.2020;15.03.2020;15.03.2020;15.03.2020;;;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;
;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Gültige Stimmzettel;Ungültige Stimmzettel;;;;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich
;;Anzahl;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;10270512;6041075;5909009;132066;;9;Bayern;5909009;29008;7451;1679281;6750;1782;680275;995;954;105796;479;111;94747;138;23;799623;2175;965;93861;199;46;550147;3073;811;1744105;11485;2696;161174;207;63
91;  Oberbayern;3622547;2058476;2015410;43066;;91;  Oberbayern;2015410;7446;2224;555874;1751;508;349562;430;440;24180;87;27;37769;45;8;276865;460;257;46134;85;26;144696;718;194;495624;2865;742;84706;69;22
92;  Niederbayern;999012;600399;586398;14001;;92;  Niederbayern;586398;3721;764;188412;1084;228;24326;54;37;23661;124;28;5944;14;4;56839;254;58;6380;26;5;68102;446;120;202356;1286;273;10378;40;11
93;  Oberpfalz;885536;567420;554788;12632;;93;  Oberpfalz;554788;3080;681;188170;959;214;35690;57;55;14706;81;9;5379;11;–;77390;307;124;5284;10;2;58779;322;68;156579;1040;203;12811;22;6
94;  Oberfranken;855992;542804;529885;12919;;94;  Oberfranken;529885;2994;765;152488;783;209;24936;52;46;6087;23;8;9595;21;5;89313;382;150;5650;15;–;50596;226;76;185367;1131;271;5853;14;–
95;  Mittelfranken;1384443;787296;771366;15930;;95;  Mittelfranken;771366;2955;831;218495;612;184;100929;143;121;17926;70;20;17880;19;–;153225;287;154;12899;17;8;73224;336;86;154523;1112;250;22265;23;8
96;  Unterfranken;1053299;657945;643173;14772;;96;  Unterfranken;643173;4054;1061;171365;782;250;57549;106;98;6671;44;6;6558;11;3;77599;309;132;7425;21;2;71795;496;141;234638;1706;420;9573;18;9
97;  Schwaben;1469683;826735;807989;18746;;97;  Schwaben;807989;4758;1125;204477;779;189;87283;153;157;12565;50;13;11622;17;3;68392;176;90;10089;25;3;82955;529;126;315018;2345;537;15588;21;7
9161;    Ingolstadt (Krfr.St);101101;46259;44916;1343;;9161;    Ingolstadt (Krfr.St);44916;39;13;12030;9;4;6843;4;4;–;–;–;3424;4;–;7850;7;2;1589;2;–;3540;3;1;5809;5;1;3831;3;1
9162;    München, Landeshauptstadt;1110571;544464;531527;12937;;9162;    München, Landeshauptstadt;531527;43;37;131355;12;8;154723;9;14;–;–;–;20513;2;1;116867;9;9;18681;2;1;13265;2;–;14283;2;–;61840;5;4
9163;    Rosenheim (Krfr.St);46511;22076;21448;628;;9163;    Rosenheim (Krfr.St);21448;31;16;7797;12;4;5372;5;6;–;–;–;1327;2;1;2667;3;2;577;1;–;2968;3;3;–;–;–;740;2;–
9171;    Altötting (Lkr);88671;50534;49480;1054;;9171;    Altötting (Lkr);49480;336;85;14144;64;25;2737;8;4;–;–;–;542;3;–;7367;27;8;369;1;1;7945;68;17;16099;117;30;277;1;–
9172;    Berchtesgadener Land (Lkr);85398;48763;47613;1150;;9172;    Berchtesgadener Land (Lkr);47613;236;62;17043;77;20;5972;20;14;–;–;–;503;2;–;3392;13;4;385;3;–;1661;8;3;18336;91;19;321;–;2
9173;    Bad Tölz-Wolfratshausen (Lkr);101201;60114;58854;1260;;9173;    Bad Tölz-Wolfratshausen (Lkr);58854;313;92;16048;61;19;9038;23;18;2193;7;3;138;–;–;3857;10;5;593;2;–;1947;17;6;24989;146;41;51;–;–
9174;    Dachau (Lkr);118320;69892;68262;1630;;9174;    Dachau (Lkr);68262;293;89;21433;85;23;7190;14;18;1330;6;–;909;3;–;9750;21;16;1029;3;1;2578;14;5;23778;117;25;265;–;1
9175;    Ebersberg (Lkr);110136;69778;68653;1125;;9175;    Ebersberg (Lkr);68653;296;120;23632;94;28;13555;30;31;3557;12;1;269;–;1;8348;18;18;2507;9;2;1754;13;5;14362;80;33;669;2;1
9176;    Eichstätt (Lkr);103500;69140;67946;1194;;9176;    Eichstätt (Lkr);67946;412;118;23009;125;36;3184;10;7;1263;5;4;–;–;–;11366;48;20;117;–;–;12921;79;22;15397;93;28;689;2;1
9177;    Erding (Lkr);108445;69746;68327;1419;;9177;    Erding (Lkr);68327;388;95;16614;74;18;5418;14;15;975;3;1;2321;10;–;5543;19;11;455;2;–;6919;37;10;29150;178;39;932;2;1
9178;    Freising (Lkr);135478;79383;77780;1603;;9178;    Freising (Lkr);77780;380;116;15843;69;22;11554;19;21;2331;13;4;1498;3;–;5747;17;11;1410;6;1;9101;36;8;27239;153;48;3057;8;1
9179;    Fürstenfeldbruck (Lkr);168728;98306;96374;1932;;9179;    Fürstenfeldbruck (Lkr);96374;350;143;31119;91;29;18622;35;40;4459;9;5;–;–;–;11248;23;17;2420;6;1;6611;35;10;20381;99;39;1514;3;2
