Gemeindefinanzen seit 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fortschreibung des Bevцlkerungsstandes;;;;
;;2019;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;;;;2023;;;;;;;;;;;;;;;;;Bevцlkerung;;;;
;;Viertelj. Kassenergeb. der Gemeinden (+VGem), Lkr;;;;Realsteuervergleich;;;;;;;;Finanzausgleich;;;Jдhrliche Schulden der Gemeinden/Gemeindeverbдnde;;Viertelj. Kassenergeb. der Gemeinden (+VGem), Lkr;;;;Realsteuervergleich;;;;;;;;Finanzausgleich;;;Jдhrliche Schulden der Gemeinden/Gemeindeverbдnde;;Viertelj. Kassenergeb. der Gemeinden (+VGem), Lkr;;;;Realsteuervergleich;;;;;;;;Finanzausgleich;;;Jдhrliche Schulden der Gemeinden/Gemeindeverbдnde;;Viertelj. Kassenergeb. der Gemeinden (+VGem), Lkr;;;;Realsteuervergleich;;;;;;;;Finanzausgleich;;;Jдhrliche Schulden der Gemeinden/Gemeindeverbдnde;;Viertelj. Kassenergeb. der Gemeinden (+VGem), Lkr;;;;Realsteuervergleich;;;;;;;;Finanzausgleich;;;Jдhrliche Schulden der Gemeinden/Gemeindeverbдnde;;Stichtag;;;;
;;Bruttoausgaben der Gemeinden;;;;Steuereinnahmen insgesamt;Istaufkommen;Istaufkommen;Gewerbesteuereinnahmen;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gewerbesteuerumlage;Steuereinnahmekraft;Steuerkraftmesszahl;Schlьsselzuweisungen insg.a.Gemeinden (Art. 1 FAG);Finanzkraft (Gemeinden);Schulden d. kreisfreien u. kreisangehцr. Gemeinden;Planmдяiger, selbst geleisteter Schuldendienst;Bruttoausgaben der Gemeinden;;;;Steuereinnahmen insgesamt;Istaufkommen;Istaufkommen;Gewerbesteuereinnahmen;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gewerbesteuerumlage;Steuereinnahmekraft;Steuerkraftmesszahl;Schlьsselzuweisungen insg.a.Gemeinden (Art. 1 FAG);Finanzkraft (Gemeinden);Schulden d. kreisfreien u. kreisangehцr. Gemeinden;Planmдяiger, selbst geleisteter Schuldendienst;Bruttoausgaben der Gemeinden;;;;Steuereinnahmen insgesamt;Istaufkommen;Istaufkommen;Gewerbesteuereinnahmen;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gewerbesteuerumlage;Steuereinnahmekraft;Steuerkraftmesszahl;Schlьsselzuweisungen insg.a.Gemeinden (Art. 1 FAG);Finanzkraft (Gemeinden);Schulden d. kreisfreien u. kreisangehцr. Gemeinden;Planmдяiger, selbst geleisteter Schuldendienst;Bruttoausgaben der Gemeinden;;;;Steuereinnahmen insgesamt;Istaufkommen;Istaufkommen;Gewerbesteuereinnahmen;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gewerbesteuerumlage;Steuereinnahmekraft;Steuerkraftmesszahl;Schlьsselzuweisungen insg.a.Gemeinden (Art. 1 FAG);Finanzkraft (Gemeinden);Schulden d. kreisfreien u. kreisangehцr. Gemeinden;Planmдяiger, selbst geleisteter Schuldendienst;Bruttoausgaben der Gemeinden;;;;Steuereinnahmen insgesamt;Istaufkommen;Istaufkommen;Gewerbesteuereinnahmen;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gewerbesteuerumlage;Steuereinnahmekraft;Steuerkraftmesszahl;Schlьsselzuweisungen insg.a.Gemeinden (Art. 1 FAG);Finanzkraft (Gemeinden);Schulden d. kreisfreien u. kreisangehцr. Gemeinden;Planmдяiger, selbst geleisteter Schuldendienst;30.06.2018;30.06.2019;30.06.2020;30.06.2021;30.06.2022
;;Ausgab.d.Verwaltungs-u.Vermцgenshaush.(Gemeinde);;;;;Steuerarten (Istaufkommen - RST);;;;;;;;;;;;Ausgab.d.Verwaltungs-u.Vermцgenshaush.(Gemeinde);;;;;Steuerarten (Istaufkommen - RST);;;;;;;;;;;;Ausgab.d.Verwaltungs-u.Vermцgenshaush.(Gemeinde);;;;;Steuerarten (Istaufkommen - RST);Steuerarten (Istaufkommen - RST);;;;;;;;;;;Ausgab.d.Verwaltungs-u.Vermцgenshaush.(Gemeinde);;;;;Steuerarten (Istaufkommen - RST);Steuerarten (Istaufkommen - RST);;;;;;;;;;;Ausgab.d.Verwaltungs-u.Vermцgenshaush.(Gemeinde);;;;;Steuerarten (Istaufkommen - RST);Steuerarten (Istaufkommen - RST);;;;;;;;;;;;;;;
;;Insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben fьr Sachinvestitionen;;Grundsteuer A;Grundsteuer B;;;;;;;;;;;Insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben fьr Sachinvestitionen;;Grundsteuer A;Grundsteuer B;;;;;;;;;;;Insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben fьr Sachinvestitionen;;Grundsteuer A;Grundsteuer B;;;;;;;;;;;Insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben fьr Sachinvestitionen;;Grundsteuer A;Grundsteuer B;;;;;;;;;;;Insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben fьr Sachinvestitionen;;Grundsteuer A;Grundsteuer B;;;;;;;;;;;;;;;
9;Bayern;49295292;9244585;7029119;8065363;20536227;85370;1807233;8494210;8679504;1401872;1652951;20468189;15979704;2499939;11799642;9710158;Ц;51416529;9811379;7149652;8712752;19435223;85454;1826648;7641614;8283955;1531895;762579;19369565;17115936;2593210;12632123;10825558;Ц;53599488;10135308;7407202;8665131;23084508;85529;1867522;10653185;8858998;1535448;1034640;23000681;17450416;2517393;12700408;11148100;Ц;55211693;10561326;7775305;8798044;23971071;85642;1897930;11438573;9065713;1391117;1250105;23878975;18609668;2559991;13372454;12848700;Ц;61577576;11444847;8619552;9832118;25258222;86282;1909840;11900043;9853137;1412779;1157283;25162081;20133238;2729757;14445304;14723180;Ц;13097202;13123566;13154738;13053694;13130963
91;  Oberbayern;19736625;3930700;3109009;3173076;9493300;21614;718661;4492869;3606597;619090;834073;9275304;7132603;428665;4752596;2382044;Ц;20757065;4231018;3203871;3404284;8581619;21554;726781;3680957;3442234;676511;363901;8452784;7849007;394454;5181124;3435083;Ц;21211340;4331083;3267470;3137766;10770681;21632;743235;5620018;3659527;684387;520001;10453275;7970671;351315;5211826;3553458;Ц;21960422;4503686;3338610;3350144;11033979;21750;753224;5843534;3745062;620000;624966;10721709;8355621;391414;5423085;4957666;Ц;24823637;4843360;3732144;3774173;11661131;22106;761298;6124888;4070348;629654;556250;11331089;9236713;428944;6015184;6512050;Ц;4695400;4712062;4724385;4683773;4708270
92;  Niederbayern;4295716;641776;523606;886527;1585368;15347;140119;607358;711477;108290;124620;1652533;1280885;280173;938940;1040429;Ц;4430343;681643;522864;860545;1427515;15487;140142;471659;679053;118334;52756;1453768;1330671;300710;995046;1045847;Ц;4734995;718300;542946;942353;1757977;15496;144938;735654;740812;117972;69550;1828650;1392710;279657;1001322;1077691;Ц;4942590;771507;597001;923230;1902455;15426;146923;871984;758001;106888;104328;1991259;1470292;286446;1046232;1087318;Ц;5416539;838716;639885;1087364;1947577;15472;145730;850610;823839;108553;89541;2033970;1576437;301173;1118803;1136502;Ц;1240642;1244792;1249483;1236063;1247390
93;  Oberpfalz;3993529;676213;489024;803171;1427563;9089;125430;529313;657832;103796;110052;1482310;1161103;248920;940811;755760;Ц;4360982;736070;503949;838024;1450135;9159;126684;570878;627852;113423;62356;1551644;1246170;256855;998649;755884;Ц;4572491;757459;514380;862327;1675566;9138;128662;737130;683762;114544;82151;1796154;1261546;261305;999233;796684;Ц;4721603;785192;558809;859322;1788435;9212;131945;841371;699635;103769;98874;1884591;1462347;252626;1129520;820888;Ц;5140511;842805;623122;978912;1873918;9241;133998;862319;760404;105385;102096;1992287;1541513;273680;1187875;867332;Ц;1109685;1110961;1113901;1102722;1111527
94;  Oberfranken;3505833;619714;477408;595178;1298328;6615;121608;474914;599343;92988;98971;1355079;1074709;281412;912451;876377;Ц;3636073;643746;477649;676133;1276831;6615;123855;469819;572029;101613;50487;1314306;1121480;302015;966498;872789;Ц;3865446;657222;479492;749109;1449811;6593;128447;594924;616208;100430;64958;1509018;1133176;308405;972574;879366;Ц;4043458;684537;523674;712287;1493495;6617;131340;630665;630556;91002;71040;1548377;1220245;290231;1005299;897221;Ц;4352798;735990;588195;785890;1593042;6663;131565;673662;685325;92419;72422;1650253;1307881;311969;1075205;896302;Ц;1066522;1062533;1060874;1048484;1053223
