Bauland seit 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;;;;;;;;;;;;
;;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020
;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land
;;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm
9;Bayern;23557;19828;32992;18762;7055189;5911203;213,84;315,07;21854;18437;32775;17639;7079947;5538092;216,02;313,96;21999;18793;31637;18318;6676374;5527449;211,03;301,75;21901;19093;29919;18298;7456634;6381527;249,22;348,76
91;  Oberbayern;5573;4693;7416;4581;4529541;3881877;610,77;847,34;4914;4097;8593;4073;4633808;3572398;539,26;877;4795;4126;6494;3923;4068450;3441037;626,48;877,11;5262;4695;6535;4364;4855681;4283651;742,98;981,53
92;  Niederbayern;3565;3129;4816;3211;409296;320733;84,98;99,87;3280;2827;4944;3008;421145;329475;85,18;109,54;3341;2881;5107;2901;454187;346107;88,93;119,31;3103;2794;4131;2816;504705;414975;122,18;147,38
93;  Oberpfalz;2976;2486;4468;2378;337866;269516;75,63;113,33;2753;2321;4222;2280;316052;260023;74,86;114,04;3019;2628;4705;3342;357223;314823;75,93;94,21;2791;2390;4212;2157;356980;271769;84,76;125,97
