Lohn- und Einkommensteuerstatistik seit 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Einkommensgrößenklassen;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;0 bis  unter 5000 EUR;;;5000 bis unter 10000 EUR;;;10000 bis unter 15000 EUR;;;15000 bis unter 20000 EUR;;;20000 bis unter 25000 EUR;;;25000 bis unter 30000 EUR;;;30000 bis unter 35000 EUR;;;35000 bis unter 50000 EUR;;;50000 EUR und mehr;;
;;;;;;;;;;;;;;;;;;;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer
;;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR
9;Bayern;6723412;282756784;53320705;6811908;296773190;55985647;6913256;310319489;59136695;6993805;326971572;62516057;7059039;341785271;65744066;7025171;341305990;65418831;784300;1200086;60122;376268;2869708;69183;491031;6175959;171163;506380;8845521;457695;499617;11249218;800878;514092;14138604;1233156;502306;16313968;1715370;1203630;50433326;6576720;2147547;230079601;54334545
91;  Oberbayern;2480107;119841243;25342430;2520393;125993221;26636741;2558255;131772752;28194998;2589556;139192367;29936169;2620696;145698565;31467112;2606121;145593369;31435168;260714;434029;36693;140336;1065079;33373;172576;2166370;73453;176481;3082791;173557;169445;3813289;287904;171393;4713840;425038;169807;5515885;601018;428797;18021797;2447602;916572;106780290;27356528
92;  Niederbayern;621909;23312878;3847170;629736;24578484;4085479;637218;25719660;4304274;645148;27176977;4587039;648970;28378648;4827685;645843;28321961;4815318;71959;114186;3427;35316;270637;4632;48161;605318;14029;48248;842797;40955;49658;1119368;75899;52654;1448052;124127;51842;1683117;172328;113652;4743591;594445;174353;17494894;3785477
