Baugenehmigungen seit 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2016;;;;;;;;2017;;;;;;;;2018;;;;;;;;2019;;;;;;;;2020;;;;;;;;2021;;;;;;;;2022;;;;;;;;2023;;;;;;;
;;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohngebäude (Neuerrichtungen);Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden
;;;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);;Zahl der Wohnungen;Zahl der Wohnungen;Zahl der Wohnungen;;Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.);Raumzahl (1/2,3/4,5o.m.)
;;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;26855;20431;2612;3812;74598;22355;26685;25558;27246;20693;2686;3867;74990;22519;27303;25168;26794;20576;2310;3908;73140;21389;27392;24359;26706;20393;2401;3912;75540;21933;28985;24622;28134;21158;3138;3838;77778;25013;27805;24960;30458;21909;4547;4002;80373;23055;29785;27533;25572;17891;3649;4032;76625;24006;29816;22803;16403;11495;1855;3053;58755;20544;23210;15001
91;  Oberbayern;9154;6488;885;1781;29771;9409;11770;8592;9276;6494;934;1848;32930;12181;12307;8442;9144;6391;855;1898;31972;11014;12805;8153;8549;5946;847;1756;30423;10397;12134;7892;9017;6276;964;1777;32106;12542;11681;7883;9337;6432;1278;1627;28923;9515;11056;8352;8225;5663;1010;1552;27290;9214;10754;7322;6421;4352;682;1387;24449;8997;9843;5609
92;  Niederbayern;3685;2999;330;356;7865;1919;2540;3406;3846;3163;360;323;7594;1644;2399;3551;3758;3107;323;328;7299;1290;2522;3487;3831;3120;342;369;8152;1815;2860;3477;3940;3096;469;375;8892;2356;3026;3510;4373;3147;720;506;10394;2654;3825;3915;3612;2514;582;516;9970;3131;3787;3052;1941;1394;264;283;5809;1818;2252;1739
