Bodennutzung  2007, 2010, 2016 und 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2007;;;;;;;;;;;;;;;;;;2010;;;;;;;;;;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;
;;Landwirtschaftlich genutzte Fläche (LF);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot)
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
9;Bayern;3220944,71;1127678,91;808294,48;215969,6;2079082,93;1170942,38;481193,28;40497,92;294690,73;141941,7;14607,25;114831,27;48010,99;16833,99;197713,02;172796,61;460453,2;325920,25;3136842,68;1070618,12;734180,41;296705,35;2052183,21;1167565,95;526661,61;40376,86;265619,74;103263,99;18454,08;103331,93;43431,33;17768,06;173256,07;148446,04;513971,78;376857,29;3125366;1063313;717212;306162;2048124;1123334;534644;35424;238083;90174;30096;100329;40172;19938;133572;109972;596026;435284;3107697;1070983;714305;316959;2022682;1058315;485065;36504;229723;93592;41011;106482;42605;20482;119579;87191;623493;433859
91;  Oberbayern;778837,75;342329,37;213620,38;85963,38;435107,24;224298,38;103206,06;7443,91;42515,37;23954,32;2941,95;24873,43;17424,29;3269,93;43030,01;33078,45;116636;84636,79;757719,02;324990,16;189575,45;122989,42;431402,59;231158,81;110225,81;8289,58;38234,93;20693,44;3867,08;23678,52;16671,03;3250,53;37474,58;26272,39;121555,9;92276,72;750543;317070;180902;123759;432140;225224;109918;6751;37791;19326;7128;22460;15431;4029;29966;19909;136061;100850;746757;319230;181927;124601;426197;216067;99398;6815;36927;20997;10742;24142;16298;4040;28370;16401;135059;99165
92;  Niederbayern;527251,62;140312,59;121048,42;9893,03;386035,99;221274,21;102542,92;2655,99;47854,18;3719,1;2468,77;31072,6;11192,29;5820,1;31673,53;23923,81;75098,18;57680,76;509176,29;128540,08;108622,14;15636,44;379652,41;229193,71;110180,04;2803,82;42623,76;2787,66;2918,25;28503,86;9947,36;6306,41;24914,43;16813,81;76469,03;59017,95;503338;127296;107757;15007;374958;225244;111590;2046;37505;2174;3943;28146;9882;6498;18549;10355;83829;65862;498985;126810;106551;15409;371116;211011;101659;2463;39352;1878;7065;30577;11384;6237;19949;10707;87323;65351
