Viehhalter und Viehbestand 2007, 2016 und 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Allgemeine Agrarstrukturerhebung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Landwirtschaftszählung - Haupterhebung, allg. Ldw.;;;;;;;;;;;;;;;;;;;
;;2007;;;;;;;;;;;;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;;;
;;Tierarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe;;Schweine;;Zuchtsauen;;Andere Schweine;;Schafe;;Einhufer;;Hühner;;Legehennen;;Masthühner und -hähne;
;;Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;64460;3444620;48496;1229398;22495;3759974;17519;1250196;8655;388537;29396;9476676;29079;3759635;866;4719273;7854;441620;15035;98150;44698;3185933;32564;1208640;10807;3456293;3471;258748;9992;2158344;5140;317507;10122;83720;20953;11277121;20458;4637091;870;5393536;38808;2963285;26609;1118491;7866;3069850;2383;197771;7333;1925400;5048;312626;9363;78328;20383;13355772;20000;5077396;826;6913354
91;  Oberbayern;18230;1004041;14037;363293;2898;461489;1981;144462;1308;51284;5856;1368511;5795;557075;201;632733;2109;86435;4762;36781;13701;947744;10370;369503;1527;388233;498;28870;1387;245523;1523;65516;3386;32654;5248;1896551;5139;897138;193;847801;12304;884064;8818;345619;1111;330944;351;21836;1007;217272;1544;62830;3146;30909;5433;2137772;5351;1061193;194;917156
