Betriebsgrößenstruktur in der Landwirtschaft 2005, 2007, 2010, 2016 und 2020;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;
;;2005;;;;;2007;;;;;2010;;;;;2016;;;;;2020;;;;
;;Betriebsgrößenklassen für Statistik kommunal;;;;;;;;;;;;;;;;;;;;;;;;
;;unter 5 ha LF;5 bis unter 10 ha LF;10 bis unter 20 ha LF;20 bis unter 50 ha LF;50 oder mehr ha LF;unter 5 ha LF;5 bis unter 10 ha LF;10 bis unter 20 ha LF;20 bis unter 50 ha LF;50 oder mehr ha LF;unter 5 ha LF;5 bis unter 10 ha LF;10 bis unter 20 ha LF;20 bis unter 50 ha LF;50 oder mehr ha LF;unter 5 ha LF;5 bis unter 10 ha LF;10 bis unter 20 ha LF;20 bis unter 50 ha LF;50 oder mehr ha LF;unter 5 ha LF;5 bis unter 10 ha LF;10 bis unter 20 ha LF;20 bis unter 50 ha LF;50 oder mehr ha LF
;;Landwirtschaftliche Betriebe;;;;;;;;;;;;;;;;;;;;;;;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;24045;21445;32004;35738;16515;21654;19551;29504;33697;17253;4173;17435;27334;30968;17963;3653;16155;24504;26817;19033;3092;15789;22120;24224;19531
91;  Oberbayern;5344;4976;8309;10404;3421;4870;4571;7706;9880;3602;836;4153;7205;9260;3792;640;4022;6601;8358;4058;557;4046;6124;7631;4306
92;  Niederbayern;4842;4126;5457;6106;2663;4340;3710;5002;5736;2797;531;3227;4690;5330;2896;526;3015;4182;4584;3078;461;2904;3686;4107;3178
93;  Oberpfalz;2628;2942;4142;4474;2114;2307;2637;3798;4213;2232;239;2293;3565;3823;2362;195;2091;3254;3237;2524;143;1979;2897;2945;2562
94;  Oberfranken;2653;2308;2830;2491;1898;2309;2163;2561;2346;1931;445;1910;2276;2100;1971;339;1645;1945;1824;1976;268;1597;1747;1680;1926
95;  Mittelfranken;2484;2449;3299;3135;1994;2256;2254;3008;2929;2088;441;1973;2750;2622;2152;367;1710;2452;2213;2185;296;1564;2218;1971;2181
96;  Unterfranken;3461;2018;2583;2413;2058;3235;1856;2434;2265;2085;1096;1704;2179;2136;2080;986;1561;1911;1876;2112;881;1483;1709;1718;2080
97;  Schwaben;2633;2626;5384;6715;2367;2337;2360;4995;6328;2518;585;2175;4669;5697;2710;600;2111;4159;4725;3100;486;2216;3739;4172;3298
9161;    Ingolstadt (Krfr.St);27;28;60;53;46;28;28;55;46;46;8;28;52;43;48;3;26;42;42;46;2;22;36;35;50
9162;    München, Landeshauptstadt;71;18;24;30;37;64;17;26;27;37;38;15;24;30;37;25;15;16;31;38;21;16;13;31;37
9163;    Rosenheim (Krfr.St);33;12;25;36;1;29;9;23;37;1;9;6;23;31;3;3;13;17;27;4;2;12;19;23;6
9171;    Altötting (Lkr);277;176;344;406;143;254;155;318;372;160;34;136;308;351;162;25;159;281;300;174;18;169;240;258;192
9172;    Berchtesgadener Land (Lkr);363;368;432;253;25;341;339;411;254;28;44;301;400;244;35;25;297;371;231;40;28;293;347;214;52
9173;    Bad Tölz-Wolfratshausen (Lkr);181;195;299;513;123;165;166;287;508;131;25;143;278;485;139;18;144;266;470;134;18;144;275;443;147
9174;    Dachau (Lkr);126;134;222;380;236;108;125;201;361;231;24;110;193;325;243;20;105;164;298;261;17;103;148;277;266
9175;    Ebersberg (Lkr);207;172;255;390;105;179;167;233;380;111;39;154;207;369;113;25;150;217;331;124;24;149;211;304;135
9176;    Eichstätt (Lkr);224;310;556;523;297;203;262;494;486;314;36;217;463;449;325;21;208;392;400;336;20;197;339;372;333
