Bauhauptgewerbe seit 2019;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;
;;2019;;;2020;;;2021;;;2022;;;2023;;
;;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR
9;Bayern;13414;165128;25289774;13516;168849;26479702;14132;173576;29776318;14893;176823;28357647;15256;178223;31442687
91;  Oberbayern;5056;50554;7590065;5093;51737;8309809;5301;52485;9090590;5625;53767;8699492;5804;54986;9286488
92;  Niederbayern;1655;24747;3875274;1629;24802;3937958;1772;25889;4530088;1878;26139;4109424;1911;26134;4694591
93;  Oberpfalz;1266;18985;3564884;1258;19586;3743161;1331;20211;4382585;1400;20539;3923507;1430;20726;4792961
94;  Oberfranken;906;11936;1616630;903;12464;1746804;960;12692;1898930;1002;12742;1920171;1027;12845;1963724
95;  Mittelfranken;1298;16071;2225062;1305;16600;2303202;1375;17427;2738353;1438;17709;2809848;1491;17992;2930934
96;  Unterfranken;1147;14333;2256972;1180;14435;2233012;1196;15082;2462191;1260;15380;2476193;1254;15192;2694951
97;  Schwaben;2086;28502;4160887;2148;29225;4205756;2197;29790;4673581;2290;30547;4419012;2339;30348;5079037
9161;    Ingolstadt (Krfr.St);82;1100;213661;84;1219;213434;86;996;215513;88;1009;164284;95;1097;186059
9162;    München, Landeshauptstadt;673;8697;1482255;665;8539;1683537;682;8372;1628757;712;8240;1550623;770;9169;1636893
9163;    Rosenheim (Krfr.St);59;945;249330;59;945;269922;61;958;298020;63;941;261171;69;934;268321
9171;    Altötting (Lkr);109;1237;140610;99;1182;149307;110;1225;174068;118;1368;186564;118;1370;212745
9172;    Berchtesgadener Land (Lkr);117;1441;237402;119;1522;258588;125;1574;246938;134;1617;255619;132;1692;266290
9173;    Bad Tölz-Wolfratshausen (Lkr);331;2335;392795;338;2251;395244;341;2287;444354;353;2295;455306;362;2349;435427
9174;    Dachau (Lkr);201;1660;244768;222;1834;248771;224;1825;282903;237;2048;319458;240;2094;321653
9175;    Ebersberg (Lkr);167;1220;212637;171;1315;263973;182;1405;290951;190;1347;258435;195;1369;282847
9176;    Eichstätt (Lkr);159;1932;247228;154;1901;261027;164;1871;271491;177;1979;243646;180;1942;279383
9177;    Erding (Lkr);187;1686;228431;192;1733;241061;200;1706;262599;210;1731;263265;224;1807;290553
9178;    Freising (Lkr);233;1582;173354;225;1708;181890;232;1627;209497;241;1810;224348;238;1722;279676
9179;    Fürstenfeldbruck (Lkr);215;2435;347924;215;2589;385025;221;2670;442549;230;2624;406117;243;2731;467616
9180;    Garmisch-Partenkirchen (Lkr);150;865;83435;153;892;93124;153;923;100168;165;942;101250;173;912;119786
9181;    Landsberg am Lech (Lkr);199;1557;202392;205;1611;207324;214;1619;219853;224;1611;208209;226;1590;245391
9182;    Miesbach (Lkr);253;1569;198962;250;1642;209843;252;1638;243411;264;1672;220386;267;1836;290068
9183;    Mühldorf a.Inn (Lkr);187;1610;195365;189;1575;214187;187;1593;219401;202;1616;226829;197;1544;238981
