Straßenverkehrsunfälle seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2018;;;;;;;;;2019;;;;;;;;;2020;;;;;;;;;2021;;;;;;;;;2022;;;;;;;;;2023;;
;;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden;Unfälle (oh.sonst.Sachschadensunf.oh.Alkoholeinw.);Unfälle mit Personenschaden;Unfälle mit Personenschaden;Unfälle mit Personenschaden;Verunglückte;Getötete;Verletzte;Schwerwiegende Unfälle mit Sachschaden
;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;;;Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);Ortslage (innerorts/außerorts);;;;
;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;;;Insgesamt;innerhalb von geschlossenen Ortschaften;außerhalb von geschlossenen Ortschaften;;;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;64904;53962;33482;20480;70919;618;70301;10942;62533;51742;32238;19504;67620;541;67079;10791;54766;46017;29546;16471;57663;484;57179;8749;54824;45149;28428;16721;57126;443;56683;9675;59035;49394;32158;17236;62300;519;61781;9641;59076;49463;31984;17479;62858;499;62359;9613
91;  Oberbayern;23261;19561;13096;6465;25302;203;25099;3700;22178;18656;12586;6070;23905;184;23721;3522;20097;17181;11907;5274;21283;169;21114;2916;19862;16807;11604;5203;20913;134;20779;3055;21392;18313;12956;5357;22780;163;22617;3079;21564;18387;12760;5627;23019;144;22875;3177
92;  Niederbayern;6374;5345;2542;2803;7328;89;7239;1029;5932;5045;2477;2568;6903;70;6833;887;4934;4165;2075;2090;5477;67;5410;769;5131;4273;2104;2169;5640;49;5591;858;5529;4636;2356;2280;6061;68;5993;893;5551;4681;2371;2310;6259;67;6192;870
