Tourismus seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2018;;;;;;;;;;;;;;2019;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;2023;;;;;;;;;;;;;
;;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen;Monate;;Gästeankünfte in Beherbergungsbetrieben;;;Gästeübernachtungen in Beherbergungsbetrieben;;;Durchschnittliche Aufenthaltsdauer;;;Gästeankünfte (Kleinbeherb.betr.u.Privatquart.);Gästeübernachtungen (Kleinbeher.bet.u.Privatquar.);Durchschnittliche Aufenthaltsdauer in Tagen
;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;;Juni;;Herkunft der Gäste;;;Herkunft der Gäste;;;Herkunft der Gäste;;;;;
;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;;Geöffnete Beherbergungsbetriebe;Angebot.Betten u.sonst.Schlafgelegenh.(oh.Camp.);Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;Insgesamt;Ausland;Inland;;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Tage;Tage;Tage;Anzahl;Anzahl;Anzahl
9;Bayern;11896;564830;39117241;9933955;29183286;98700118;20490203;78209915;2,5;2,1;2,7;1476528;9208335;6,2;11976;579427;40010919;10070099;29940820;100911480;20899137;80012343;2,5;2,1;2,7;1488110;9157724;6,2;11321;530333;19832155;2885886;16946269;59962427;7051228;52911199;3;2,4;3,1;1198464;7827519;6,5;11337;552776;19550823;2647334;16903489;60969813;6845145;54124668;3,1;2,6;3,2;1073150;7195691;6,7;11520;589004;34214020;7089293;27124727;92267961;16200987;76066974;2,696788071;2,285275415;2,80434063;1389914;8434505;6,1;11584;598957;38856921;8854855;30002066;100256339;19545820;80710519;2,580141103;2,207356303;2,690165371;1422114;8499004;6
91;  Oberbayern;4065;228345;18290184;6025967;12264217;42847929;12796135;30051794;2,3;2,1;2,5;656274;3993673;6,1;4144;239540;18849795;6203785;12646010;44473396;13343780;31129616;2,4;2,2;2,5;672331;4045139;6;3926;215080;8409226;1616762;6792464;24599831;4011723;20588108;2,9;2,5;3;556784;3532353;6,3;3929;230476;8280242;1489585;6790657;25046057;3968637;21077420;3;2,7;3,1;476171;3171515;6,7;4012;248628;15786167;4312759;11473408;40481456;10090512;30390944;2,564362584;2,339688353;2,648815766;591544;3526636;6;4032;255081;18293663;5415936;12877727;44480069;12231925;32248144;2,431446835;2,258506194;2,504179814;588230;3560195;6,1
92;  Niederbayern;1745;76441;3250040;345340;2904700;12119311;866190;11253121;3,7;2,5;3,9;100503;680036;6,8;1704;76163;3367451;353631;3013820;12352869;891473;11461396;3,7;2,5;3,8;96987;650945;6,7;1615;69355;1923394;146332;1777062;7762279;449426;7312853;4;3,1;4,1;71388;504132;7,1;1578;68912;1814468;134347;1680121;7750232;439633;7310599;4,3;3,3;4,4;71222;455905;6,4;1599;73252;2861619;268081;2593538;10693303;751968;9941335;3,736801789;2,805002966;3,833117155;91077;539595;5,9;1596;72786;3130729;326361;2804368;11283477;886258;10397219;3,604105306;2,715575697;3,707508786;99392;564406;5,7
93;  Oberpfalz;906;38712;2131454;332449;1799005;5394613;760045;4634568;2,5;2,3;2,6;46319;267763;5,8;901;38587;2159182;326302;1832880;5407511;730645;4676866;2,5;2,2;2,6;43539;243588;5,6;845;35492;1193549;119118;1074431;3388298;355815;3032483;2,8;3;2,8;31448;191252;6,1;844;36387;1196219;118361;1077858;3438569;371535;3067034;2,9;3,1;2,8;29279;176908;6;864;38443;1902066;243849;1658217;4930867;630146;4300721;2,592374292;2,584164791;2,59358154;37539;208565;5,6;867;39523;2161880;313553;1848327;5407564;782307;4625257;2,501324773;2,494975331;2,502401902;36693;203877;5,6
