Allgemein bildende Schulen und Wirtschaftsschulen 2023/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schuljahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2023/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Art der allgemein bildenden Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Grund- sowie Mittel-/Hauptschulen;;;;;;;;;Förderzentren;;;;;;;;;Realschulen;;;;;;;;;Realschulen zur sonderpädagogischen Förderung;;;;;;;;;Wirtschaftsschulen;;;;;;;;;Gymnasien;;;;;;;;;Schulen des Zweiten Bildungswegs;;;;;;;;;Schulen besonderer Art (Gesamtschulen);;;;;;;;;Freie Waldorfschulen;;;;;;;;;Schulen bes.Art(schulartunabh.Orientierungsstufen);;;;;;;;;Sonstige allgemein bildende Schulen;;;;;;;;;allg.bild.Schulen insg. (mit Wirtschaftsschulen);;;;;;;;
;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;;Schulen;;;Voll- und teilzeitbeschäftigte Lehrkräfte;Lehrkräfte;Klassen;Schüler;;
;;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer;Insgesamt;öffentliche Schulen;private Schulen;;männlich;;Insgesamt;männlich;Ausländer
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;3289;3097;192;45554;8252;32456;690307;356236;139400;353;165;188;9832;2034;5378;57871;36180;12344;375;275;100;15958;5494;8594;216284;108581;19251;4;–;4;134;38;64;747;469;38;74;46;28;1446;644;808;16560;8915;2600;434;357;77;26310;11215;11463;321709;154315;23878;14;8;6;147;62;66;1683;817;564;2;2;–;200;76;84;2032;1037;240;25;–;25;737;269;387;9351;4509;248;1;1;–;50;19;20;559;274;125;–;–;–;–;–;–;–;–;–;4571;3951;620;100368;28103;59320;1317103;671333;198688
91;  Oberbayern;1015;936;79;15931;2676;11321;244433;125988;51550;107;54;53;3130;589;1694;18589;11506;4386;126;89;37;5511;1848;2949;75560;38088;8121;4;–;4;134;38;64;747;469;38;20;9;11;413;179;226;4606;2434;696;170;133;37;10820;4368;4691;133263;64851;11215;4;3;1;40;15;15;381;187;98;1;1;–;103;42;37;960;507;199;12;–;12;372;139;186;4754;2308;123;1;1;–;50;19;20;559;274;125;–;–;–;–;–;–;–;–;–;1460;1226;234;36504;9913;21203;483852;246612;76551
