Berufliche Schulen 2023/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Statistik der beruflichen Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berufsschulen;;;;;;;;;Berufsschulen z.sond.päd.Förderung;;;;;;;;;Berufsfachschulen (oh.Gesundheitsw.u.Wirtschafts.);;;;;;;;;Landwirtschaftsschulen;;;;;;;;;Fachschulen (ohne Landwirtschaftsschulen);;;;;;;;;Fachoberschulen;;;;;;;;;Berufsoberschulen;;;;;;;;;Fachakademien;;;;;;;;;Schulen des Gesundheitswesens;;;;;;;;
;;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler;Insgesamt;öffentliche Schulen;private Schulen;Lehrkräfte;Lehrkräfte;Klassen;Schüler;Schüler;Schüler
;;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer;Schulen;Schulen;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;männlich;;Insgesamt;männlich;Ausländer
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;183;182;1;7501;4620;10719;234069;150265;44936;45;5;40;1108;571;1133;11313;7524;2141;287;179;108;1699;518;885;15998;4296;3069;60;59;1;88;47;114;2142;1057;20;185;103;82;977;570;595;10642;7358;708;121;76;45;4115;1915;2195;47273;20979;5486;64;64;–;328;154;313;5269;3016;431;111;38;73;1513;381;682;14703;2566;1195;501;114;387;2951;685;1582;33272;8573;9156
91;  Oberbayern;66;66;–;2457;1403;3354;75887;47531;16435;12;1;11;354;186;381;3693;2580;805;93;39;54;527;170;307;5324;1357;1018;15;14;1;25;10;29;601;250;1;59;38;21;364;223;184;3654;2537;330;48;25;23;1645;701;910;19971;9074;2434;19;19;–;149;68;120;2172;1215;241;35;13;22;506;116;236;5068;1002;675;141;34;107;795;197;463;10008;2653;3208
92;  Niederbayern;18;18;–;768;504;1128;23315;15076;4083;4;–;4;89;48;130;997;705;142;28;21;7;196;69;89;1540;473;290;10;10;–;19;12;20;395;235;6;21;11;10;69;37;46;740;451;55;11;9;2;369;182;181;3634;1516;426;8;8;–;31;14;33;513;289;30;11;4;7;132;38;58;1148;110;36;49;11;38;294;79;156;3317;812;1049
93;  Oberpfalz;12;12;–;711;476;1051;22003;14444;4031;3;–;3;92;49;76;962;673;163;23;18;5;148;43;71;1388;363;258;5;5;–;2;1;8;152;60;–;15;7;8;101;61;63;938;661;42;10;6;4;370;187;197;4121;1810;494;7;7;–;20;13;29;477;245;22;11;5;6;119;36;54;1168;197;41;57;5;52;324;71;176;3708;1028;797
94;  Oberfranken;17;17;–;647;419;944;19434;12831;2840;5;1;4;93;51;75;741;486;48;29;21;8;134;33;76;1228;312;146;4;4;–;3;1;6;90;27;5;20;11;9;73;35;49;703;420;54;10;7;3;280;136;145;2908;1321;256;5;5;–;10;8;19;255;168;6;10;3;7;129;24;49;1115;219;43;51;8;43;314;69;156;3380;846;820
