Bedarfsgemeinschaften und Empfänger nach dem zwölften Buch Sozialgesetzbuch SGB XII (Sozialhilfe) seit 2016 nach Wohnort;;;;;;;;;;;     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2016;;;;;;;;;;;2017;;;;;;;;;;;2018;;;;;;;;;;;2019;;;;;;;;;;;2020;;;;;;;;;;;2021;;;;;;;;;;;2022;;;;;;;;;;;2023;;;;;;;;;;
;;"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)";"Stichtag
";"3. Kapitel
Hilfe zum Lebensunterhalt";;;"4. Kapitel
Grundsicherung im Alter und
bei Erwerbsminderung";;"5. bis 9. Kapitel
Sonstige Hilfen¹)";;;;"Empfänger
von Eingliederungshilfe (SGB IX) 6)"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;;;"Bedarfs-
gemeinschaften";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Empfänger
insgesamt";"darunter
weiblich";"Von den Empfängern erhielten
Hilfen nach dem";;
;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;;;;;;;;;;6. Kapitel;7. Kapitel;
;;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";;;;;;;;;;"Eingliederungs-
hilfe für
behinderte
Menschen";"Hilfe
zur
Pflege";
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;2016;46202;46787;22030;121069;63169;160868;75453;109853;41261;–;2017;47476;48003;22464;124370;64742;165449;76865;115463;37578;–;2018;47207;47657;22210;126883;65949;168094;77620;118167;37841;–;2019;44346;44797;20785;126657;64878;162312;74777;114975;36513;–;2020;26440;26820;12850;126855;64320;54235;33010;–;38795;123855;2021;26005;26365;12640;129420;65620;55060;32875;–;38400;127015;2022;26920;27620;14015;140975;73910;54445;32110;–;37010;124690;2023;27000;27630;14150;145035;76175;56935;33890;–;39390;127165
91;  Oberbayern;2016;17173;17333;8184;44470;23431;56344;27066;33444;14261;–;2017;17848;18018;8442;45897;24098;58370;27633;35450;13021;–;2018;17724;17884;8322;46345;24384;59139;27931;36276;12814;–;2019;16201;16345;7574;45833;23825;54687;26155;32947;12436;–;2020;10930;11075;5260;47140;24215;25385;15110;–;13030;37515;2021;10750;10885;5175;48480;24935;25785;14915;–;12795;39390;2022;10500;10745;5365;52410;27825;25880;15020;–;12460;37840;2023;10375;10585;5370;53565;28460;26765;15735;–;13195;39605
92;  Niederbayern;2016;3747;3790;1795;9790;5086;13568;6146;9978;3636;–;2017;3773;3817;1785;10029;5194;13847;6264;10311;3542;–;2018;3645;3690;1734;10153;5232;13819;6232;10438;3376;–;2019;3610;3649;1700;10117;5125;13544;6047;10349;3205;–;2020;2080;2100;1035;9980;4990;3550;2225;–;3330;10680;2021;1975;2000;960;10230;5090;3350;2085;–;3160;10815;2022;2210;2275;1145;11120;5750;3345;2045;–;3155;10730;2023;2130;2195;1100;11225;5805;3450;2120;–;3265;11180
93;  Oberpfalz;2016;4428;4491;2142;10200;5216;13708;6426;9643;4102;–;2017;4580;4644;2219;10498;5364;14195;6666;10026;4028;–;2018;4448;4495;2120;10868;5477;14157;6575;10072;4014;–;2019;4129;4175;1925;10763;5324;13560;6291;9826;3728;–;2020;2410;2450;1175;10485;5150;4205;2735;–;3950;10420;2021;2725;2760;1415;10690;5255;4255;2760;–;3960;10850;2022;2680;2735;1420;11845;6060;4255;2730;–;3970;10800;2023;2455;2505;1300;12195;6290;4495;2895;–;4260;10900
