Anschlussgrad an die öffentliche Wasserversorgung und Abwasserentsorgung am 31. Dezember 2010, 2013, 2016, 2019 und 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl, gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wasserversorgung;;;;;;;;;;Kanalisation;;;;;;;;;;Kläranlagen;;;;;;;;;
;;Angeschlossene Einwohner;;;;;;;;;;Angeschlossene Einwohner;;;;;;;;;;Angeschlossene Einwohner;;;;;;;;;
;;2010;;2013;;2016;;2019;;2022;;2010;;2013;;2016;;2019;;2022;;2010;;2013;;2016;;2019;;2022;
;;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%
9;Bayern;12401600;99,1;12443210;99,2;12785620;99,2;13007468;99,3;13093220;99,36427814;12107291;96,7;12186958;97,1;12540784;97,3;12760053;97,4;12859716;97,59221928;12073100;96,4;12161581;96,9;12482881;96,9;12709261;97,3;12838986;97,43489958
91;  Oberbayern;4341036;99,5;4417796;99,6;4592735;99,6;4680468;99,7;4715328;99,70576686;4217429;96,7;4313588;97,2;4492196;97,5;4581164;97,6;4618947;97,66778742;4216168;96,7;4313180;97,2;4459089;96,8;4546865;97,4;4616348;97,61283148
92;  Niederbayern;1130251;95,1;1131561;95,6;1165777;95,9;1198474;96,6;1214888;96,92422699;1078150;90,7;1085604;91,7;1126845;92,7;1155166;93,1;1170188;93,35804398;1076271;90,5;1084063;91,6;1125422;92,6;1154447;93,1;1169173;93,27706689
93;  Oberpfalz;1075476;99,5;1070980;99,6;1091835;99,6;1105896;99,7;1112745;99,64217307;1026777;95;1029626;95,7;1051262;95,9;1065463;96;1075832;96,33675131;1017334;94,1;1021918;95;1046949;95,5;1063572;95,8;1071377;95,93782265
94;  Oberfranken;1069220;99,6;1052369;99,6;1055994;99,6;1061031;99,5;1058506;99,67766207;1047616;97,6;1032993;97,8;1035987;97,7;1043081;97,8;1042866;98,20487057;1035130;96,4;1023529;96,9;1028643;97;1039035;97,4;1036637;97,61829652
