service_id,date,exception_type
UC,20250808,2
UC,20250810,2
UC,20250815,2
UC,20250817,2
UC,20250822,2
UC,20250824,2
UC,20250829,2
UC,20250831,2
UC,20250905,2
UC,20250907,2
UC,20250912,2
UC,20250914,2
UC,20250919,2
UC,20250921,2
UC,20250926,2
UC,20250928,2
UC,20251003,2
UC,20251005,2
UC,20251010,2
UC,20251012,2
UC,20251017,2
UC,20251019,2
UC,20251024,2
UC,20251026,2
UC,20251031,2
UC,20251102,2
UC,20251107,2
UC,20251109,2
UC,20251114,2
UC,20251116,2
UC,20251121,2
UC,20251123,2
UC,20251128,2
UC,20251130,2
UC,20251205,2
UC,20251212,2
UC#1,20250808,2
UC#1,20250822,2
UC#1,20250829,2
UC#1,20250905,2
UC#1,20250912,2
UC#1,20250919,2
UC#1,20250926,2
UC#1,20251010,2
UC#1,20251017,2
UC#1,20251024,2
UC#1,20251031,2
UC#1,20251101,1
UC#1,20251107,2
UC#1,20251114,2
UC#1,20251121,2
UC#1,20251128,2
UH,20250815,2
UH,20251003,2
UH#1,20250806,2
UH#1,20250807,2
UH#1,20250808,2
UH#1,20250811,2
UH#1,20250812,2
UH#1,20250813,2
UH#1,20250814,2
UH#1,20250815,2
UH#1,20250818,2
UH#1,20250819,2
UH#1,20250820,2
UH#1,20250821,2
UH#1,20250822,2
UH#1,20250825,2
UH#1,20250826,2
UH#1,20250827,2
UH#1,20250828,2
UH#1,20250829,2
UH#1,20250901,2
UH#1,20250902,2
UH#1,20250903,2
UH#1,20250904,2
UH#1,20250905,2
UH#1,20250908,2
UH#1,20250909,2
UH#1,20250910,2
UH#1,20250911,2
UH#1,20250912,2
UH#1,20250915,2
UH#1,20250916,2
UH#1,20250917,2
UH#1,20250918,2
UH#1,20250919,2
UH#1,20250922,2
UH#1,20250923,2
UH#1,20250924,2
UH#1,20250925,2
UH#1,20250926,2
UH#1,20250929,2
UH#1,20250930,2
UH#1,20251001,2
UH#1,20251002,2
UH#1,20251003,2
UH#1,20251006,2
UH#1,20251007,2
UH#1,20251008,2
UH#1,20251009,2
UH#1,20251010,2
UH#1,20251013,2
UH#1,20251014,2
UH#1,20251015,2
UH#1,20251016,2
UH#1,20251017,2
UH#1,20251020,2
UH#1,20251021,2
UH#1,20251022,2
UH#1,20251023,2
UH#1,20251024,2
UH#1,20251027,2
UH#1,20251028,2
UH#1,20251029,2
UH#1,20251030,2
UH#1,20251031,2
UH#1,20251103,2
UH#1,20251104,2
UH#1,20251105,2
UH#1,20251106,2
UH#1,20251107,2
UH#1,20251110,2
UH#1,20251111,2
UH#1,20251112,2
UH#1,20251113,2
UH#1,20251114,2
UH#1,20251117,2
UH#1,20251118,2
UH#1,20251119,2
UH#1,20251120,2
UH#1,20251121,2
UH#1,20251124,2
UH#1,20251125,2
UH#1,20251126,2
UH#1,20251127,2
UH#1,20251128,2
