trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1.UH.39-562-j25-1.2.H,07:02:00,07:02:00,de:09373:17000:53:9,1,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:04:00,07:04:00,de:09373:17080:0:1,2,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:05:00,07:05:00,de:09373:17090:0:1,3,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:06:00,07:06:00,de:09373:17065:0:1,4,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:08:00,07:08:00,de:09373:17062:0:1,5,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:10:00,07:10:00,de:09373:17095:0:1,6,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:11:00,07:11:00,de:09373:17138:0:1,7,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:12:00,07:12:00,de:09373:17136:0:1,8,Holzheim,0,0
1.UH.39-562-j25-1.2.H,07:13:00,07:13:00,de:09373:17133:0:1,9,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:15:00,07:15:00,de:09373:17135:0:1,10,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:16:00,07:16:00,de:09373:17134:0:1,11,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:17:00,07:17:00,de:09373:17136:0:2,12,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:18:00,07:18:00,de:09373:17138:0:2,13,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:19:00,07:19:00,de:09373:17095:0:2,14,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:22:00,07:22:00,de:09373:17062:0:2,15,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:23:00,07:23:00,de:09373:17065:0:2,16,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:24:00,07:24:00,de:09373:17090:0:2,17,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:26:00,07:26:00,de:09373:17080:0:2,18,Neumarkt Bahnhof,0,0
1.UH.39-562-j25-1.2.H,07:28:00,07:28:00,de:09373:17000:53:9,19,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:33:00,07:33:00,de:09373:17000:53:8,1,Altenhof,0,0
1.UH.39-563-j25-1.3.H,07:39:00,07:39:00,de:09373:17014:0:1,2,Altenhof,0,0
1.UH.39-563-j25-1.3.H,07:41:00,07:41:00,de:09373:17002:0:1,3,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:42:00,07:42:00,de:09373:17063:0:1,4,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:43:00,07:43:00,de:09373:17113:0:1,5,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:44:00,07:44:00,de:09373:17116:0:1,6,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:45:00,07:45:00,de:09373:17117:0:1,7,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:46:00,07:46:00,de:09373:17119:0:1,8,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:47:00,07:47:00,de:09373:17111:0:1,9,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:48:00,07:48:00,de:09373:17115:0:1,10,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:49:00,07:49:00,de:09373:17112:0:1,11,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:50:00,07:50:00,de:09373:17060:0:2,12,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:51:00,07:51:00,de:09373:17003:0:2,13,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:52:00,07:52:00,de:09373:17014:0:2,14,Neumarkt Bahnhof,0,0
1.UH.39-563-j25-1.3.H,07:54:00,07:54:00,de:09373:17090:0:2,15,Neumarkt Bahnhof,0,0
